作者规范,六帖部类,高值句数,最高相似度,平均相似度,代表诗题,代表诗句,代表六帖词条,代表六帖注文,代表相似度
贯休,食,2,0.791159,0.791159,琴曲歌辞。白雪歌,却思食藜藿,藜藿,《七發》曰：予甘藜藿，未暇此食。,0.791159
贯休,嗣立,2,0.787329,0.787329,杂曲歌辞。轻薄篇二首,其名不彰,不隕其名,,0.787329
贯休,帝德,2,0.77286,0.77286,相和歌辞。胡无人行,天子富有四海,富有天下。,,0.77286
贯休,山,2,0.764959,0.756317,闻无相道人顺世五首,去矣不可留,不可久留,《離騷》：山中不可久留。,0.764959
贯休,視,2,0.763803,0.7638025,秋晚泊石头驿有寄,所思不可见,目所不見,故若存若亡心所不繋故不生不滅。,0.763803
贯休,造化,1,0.888025,0.888025,村行遇猎,我闻天地之大德曰生,天地之大德曰生,,0.888025
贯休,宰相,1,0.871803,0.871803,大蜀皇帝寿春节进尧铭舜颂二首。舜颂,五典克从,百揆時序,五典克從。,0.871803
贯休,疾,1,0.816062,0.816062,问岳禅师疾,而有斯疾,伯牛有疾,子曰：斯人也。而有斯疾也。,0.816062
贯休,信,1,0.807036,0.807036,循吏曲上王使君,大信不信,大信不約,,0.807036
贯休,仙,1,0.80624,0.80624,赠方干,白日升天路,白日升天,,0.80624
贯休,父子,1,0.803623,0.803623,山中作,不论才不才,才不才,亦各言其子也。,0.803623
贯休,性情,1,0.800312,0.800312,怀张为、周朴,心与人不同,人各有心,,0.800312
贯休,郊天,1,0.797149,0.797149,大蜀皇帝寿春节进尧铭舜颂二首。尧铭,承天眷命,皇天眷命,,0.797149
贯休,道士,1,0.796324,0.796324,商山道者,五千言外得玄音,五千玄言,,0.796324
贯休,清亷,1,0.793643,0.793643,上缙云段使君,清畏人知人尽知,畏人知,胡質為徐州子威自京師歸省驅驢毎舍於驢取樵見父十餘日告歸父賜絹一匹威跪曰大人清亷安得此絹質曰吾俸祿之餘後威為徐州晉武帝問卿清何如父清對曰臣不如父父清畏人知臣清畏人不知,0.793643
贯休,諫諍,1,0.788311,0.788311,续姚梁公坐右铭,成人之美,成人之美。,君子。,0.788311
贯休,俎,1,0.782596,0.782596,长持经僧,一食而已,一食之人，一人徹,為聚食也。,0.782596
贯休,行旅,1,0.781785,0.781785,送少年禅师二首,岂愁游子暮何之,遊子暮何之,《李陵詩》。,0.781785
贯休,言語,1,0.777352,0.777352,寄杜使君,有时作章句,有章,出言有章。,0.777352
贯休,冨,1,0.773303,0.773303,甘雨应祈,不足者足,不足觀,子曰：「如有周公之才之美，使驕且吝。其餘，不足觀也。」,0.773303
贯休,未能為政,1,0.772319,0.772319,续姚梁公坐右铭,不得不止,不能者止。,,0.772319
贯休,弔,1,0.756982,0.756982,秋末怀旧山,无人知姓名,不知名,《漢》：龔勝死，有父老弔之，甚哀曰：「膏以明自煎，龔生竟夭天年。人莫知其名也。」,0.756982
贯休,終南山,1,0.750326,0.750326,寄韩团练,独立千仞壁,壁千丈,,0.750326
贯休,奴婢,1,0.750155,0.750155,句,至竟不封侯,封不義侯,《後漢》：詔討彭寵者封侯。寵，蒼頭。奴子密殺寵，朝廷以奴殺主不義，復不可不封，乃封為不義侯。,0.750155
贯休,疑獄,1,0.743757,0.743757,大蜀皇帝寿春节进尧铭舜颂二首。尧铭,不疑不疑,疑事無質。,質，成也。疑則捨之，不可成言也。,0.743757
贯休,筆硯,1,0.743051,0.743051,笔,何妨成五色,五色,江淹夢授五色筆，由是文藻由新。,0.743051
贯休,日,1,0.741658,0.741658,大蜀高祖潜龙日献陈情偈颂,揭日月行,昭昭揭行,如揭日月。,0.741658
贺兰进明,松柏,2,0.802245,0.788896,行路难五首,叹息青青陵上柏,青陵上柏,,0.802245
贺知章,德,1,0.91163,0.91163,唐禅社首乐章。雍和,惟德惟馨,明德惟馨,,0.91163
贺知章,錢,1,0.783688,0.783688,题袁氏别业（一作偶游主人园）,囊中自有钱,囊中,,0.783688
贺知章,黍稷,1,0.754612,0.754612,唐禅社首乐章。雍和,粢盛以絜,滌粢盛,明水也。,0.754612
贾岛,冰,1,0.83137,0.83137,让纠曹上乐使君,犹如履薄冰,履薄,戰戰兢兢，如履薄冰。,0.83137
贾岛,商賈,1,0.829886,0.829886,送僧,日午游都市,日游都市,,0.829886
贾岛,鶴,1,0.799146,0.799146,马戴居华山因寄,孤高不可言,孤高,,0.799146
贾岛,堂,1,0.754139,0.754139,黄子陂上韩吏部,相逐升堂者,升堂,希升堂者，又曰：升我堂矣。,0.754139
贾岛,仙,1,0.753783,0.753783,游仙,身自有羽翼,生羽翼,,0.753783
贾岛,華山,1,0.746775,0.746775,送令狐绹相公,岳整五千仞,削成五千仞,《山海經》：「華山削成而四方，高五千仞，其廣千里。」,0.746775
贾岛,嵩山,1,0.746195,0.746195,北岳庙,天地有五岳,五嶽之中,嵩高維嶽，峻極于天，維嶽降神，生甫及申。,0.746195
贾至,露,1,0.776567,0.776567,闲居秋怀，寄阳翟陆赞府、封丘高少府,八月白露降,立秋後五日白露降,,0.776567
贾躭,寛刑,1,0.76761,0.76761,赋虞书歌,父子君臣相揖抱,父子君臣,禮凡聽五刑之訟必原父子之親立君臣之義以權之注權量也謂父子君臣之間可以情恕也,0.76761
赵光逢,祭星,2,0.869655,0.869655,郊庙歌辞。梁郊祀乐章。庆和,禋于六宗,禋于六宗,孔安國曰：四時也。寒暑也，日也，月也，星辰也，水旱也。,0.869655
赵光逢,德,1,0.814667,0.814667,梁郊祀乐章。庆平,帝德惟馨,明德惟馨,,0.814667
赵光逢,禱祀,1,0.741768,0.741768,梁郊祀乐章。庆平,享祀不忒,神不享矣,,0.741768
赵嘏,酒,1,0.743335,0.743335,赠曹处士幽居,中山暂醉一千日,千日,中山有酒飲者，一醉千日。玄石飲之，一千日乃醒。,0.743335
邵谒,天,1,0.832851,0.832851,送从弟长安下第南归觐亲,戴天如戴盆,戴盆,多謝悠悠子，瞻天如戴盆。,0.832851
邵谒,勤勞,1,0.788251,0.788251,送徐群宰望江,知食不知耕,不知稼穡之艱難,,0.788251
邵谒,爭,1,0.759348,0.759348,少年行,然后致得人心争,爭奪相殺，謂之人患,《禮》。,0.759348
邵谒,大理卿,1,0.749109,0.749109,少年行,能使天下平,天下之平,高柔，字文思。魏明時為廷尉，每曰：「廷尉，天下之平。」,0.749109
郎士元,鳥,1,0.792346,0.792346,题刘相公三湘图,飞鸟不知倦,鳥倦飛而知還,,0.792346
