作者规范,题目,text,best_similarity,六帖卷,六帖部类,六帖词条,六帖解析注文,注文计算策略
孟郊,塘下行,徒将白羽扇,0.838187,四,扇,白羽扇,裴啟《語林》曰：「諸葛武侯，持白羽扇，指麾三軍。,weighted_channels_with_book_title_stats
佚名,郊庙歌辞。享太庙乐章。太和,在貌思恭,0.838006,八 （凡七十九門 內二十六門附）,恭敬,事思敬,貌思恭。,parallel_note_focused
张说,唐享太庙乐章。太和,在貌思恭,0.838006,八 （凡七十九門 內二十六門附）,恭敬,事思敬,貌思恭。,parallel_note_focused
李白,对酒,自古帝王宅,0.83794,三,西京,帝王之宅,崤函作帝王之宅。,weighted_channels
李白,相和歌辞。对酒二首,自古帝王宅,0.83794,三,西京,帝王之宅,崤函作帝王之宅。,weighted_channels
张说,古泉驿,乐亦在其中,0.837708,七,貧,樂在其中矣,飲水，曲肱而枕之，樂亦在其中矣！,weighted_channels
皎然,哭吴县房耸明府,夫子寡兄弟,0.837343,六,兄弟,寡兄弟,子路曰：「吾寡兄弟而不忍除也。姊喪,weighted_channels
崔玄童,郊庙歌辞。祭汾阴乐章。肃和,明德惟聪,0.837281,八 （凡七十九門 內二十六門附）,德,德明惟明,,weighted_channels_untyped_fallback
崔玄童,祭汾阴乐章,明德惟聪,0.837281,八 （凡七十九門 內二十六門附）,德,德明惟明,,weighted_channels_untyped_fallback
李白,游泰山六首（天宝元年四月从故御道上泰山）,稽首再拜之,0.837274,七,拜揖,大夫稽首再拜君答拜之,《禮》無不答,book_title_stats_only_weighted_fallback
白居易,采诗官－监前王乱亡之由也,君之门兮九重閟,0.836644,三,門戶,九重,《楚辭》曰：「君之門兮！九重。,weighted_channels_with_book_title_stats
刘长卿,酬张夏雪夜赴州访别途中苦寒作,不惮苦寒行,0.836255,一,寒,苦寒行,魏武《苦寒行》曰：「人馬同時飢，擔囊行取薪，斧冰持作糜。」糜，粥也。,weighted_channels_with_book_title_stats
白居易,朱陈村,死者不远葬,0.83576,十九,葬,袝葬者不筮宅,謂袝先塋，不改十墓也。,weighted_channels
刘商,乌夜啼（一作乌栖曲）,月中有桂树,0.835503,三十,桂,月中有仙桂樹一枝,晉郤詵對武帝曰：「臣對策為天下第一，猶桂林一枝也。,weighted_channels
权德舆,古兴,月中有桂树,0.835503,三十,桂,月中有仙桂樹一枝,晉郤詵對武帝曰：「臣對策為天下第一，猶桂林一枝也。,weighted_channels
