unit_id,granularity,poem_id,source_poetry_id,poet_id,作者,作者规范,题目,source,line_index,line_length_guess,text,embedding_text,embedding_chars,candidate_ngram,candidate_source,row_id,best_similarity,六帖卷,六帖部类,六帖部类序号,六帖部类附名,六帖词条,六帖注文,六帖解析注文,注文類型规范,注文计算策略,line_high_count_in_poem
2613,poem_from_line,11403,11407,103,皇甫冉,皇甫冉,酬权器,Ethan-do0707/tang_poetry,8,7,人生有怀若不展,人生有怀若不展,7,人生有,leishu_3gram,33707,0.608551,二十九,馬,四十九,駿馬,若恤若失,徐無鬼相馬，馬有成材，若恤若失。,徐無鬼相馬，馬有成材，若恤若失。,出处原文,weighted_channels,0
2614,poem_from_line,11406,11410,103,皇甫冉,皇甫冉,鲁山送别（一作刘长卿诗）,Ethan-do0707/tang_poetry,3,7,愁君客路在其中,愁君客路在其中,7,在其中,leishu_3gram,13871,0.618289,十,行旅,四,,人生天地間，忽如遠行客,《古詩》,《古詩》,出处典籍；出处原文,weighted_channels_with_book_title_stats,0
2615,poem_from_line,11410,11414,103,皇甫冉,皇甫冉,送崔使君赴寿州（一作刘长卿诗）,Ethan-do0707/tang_poetry,6,7,千里相思如可见,千里相思如可见,7,千里相,leishu_3gram,13976,0.663795,十,相思,九,,如之何勿思,,,,weighted_channels_untyped_fallback,0
2616,poem_from_line,11414,11418,103,皇甫冉,皇甫冉,送袁郎中破贼北归,Ethan-do0707/tang_poetry,5,7,十年不得掩郊扉,十年不得掩郊扉,7,十年不,leishu_3gram,8644,0.635794,六,女,三十,,十年不出,《禮》：女子十年不出，漸長可居內。,《禮》：女子十年不出，漸長可居內。,出处典籍；出处原文,weighted_channels_with_book_title_stats,0
2617,poem_from_line,11416,11420,103,皇甫冉,皇甫冉,奉和独孤中丞游法华寺,Ethan-do0707/tang_poetry,3,5,当仁五百年,当仁五百年,5,五百年,leishu_3gram,34235,0.595732,二十九,熊,五十七,,五百歲,,,,weighted_channels_untyped_fallback,0
2618,poem_from_line,11417,11421,103,皇甫冉,皇甫冉,之京留别刘方平,Ethan-do0707/tang_poetry,2,5,邀欢日不足,邀欢日不足,5,日不足,leishu_3gram,11461,0.583067,八 （凡七十九門 內二十六門附）,賢,二十九,,吉人為善,惟日不足。,惟日不足。,补足下文,headword_note_combined,0
2619,poem_from_line,11430,11434,103,皇甫冉,皇甫冉,彭祖井（一本题上有奉和王相公五字）,Ethan-do0707/tang_poetry,2,7,访古因知彭祖宅,访古因知彭祖宅,7,彭祖宅,leishu_3gram,4537,0.659286,三,樓,十六,,崇制彭氏,黃昌為郡守，陝縣彭氏造樓臨道昌行，縣彭氏婦人輒升樓而觀，昌乃殺之。,黃昌為郡守，陝縣彭氏造樓臨道昌行，縣彭氏婦人輒升樓而觀，昌乃殺之。,解释文意,weighted_channels,0
2620,poem_from_line,11444,11448,103,皇甫冉,皇甫冉,酬崔侍御期籍道士不至兼寄,Ethan-do0707/tang_poetry,2,5,丹灶今何在,丹灶今何在,5,今何在,leishu_3gram,1169,0.62628,一,火,二十四,,丹丘,《拾遺錄》云：「丹丘千年之燒。」,《拾遺錄》云：「丹丘千年之燒。」,出处典籍；出处原文,weighted_channels_with_book_title_stats,0
2621,poem_from_line,11460,11464,103,皇甫冉,皇甫冉,送张道士归茅山谒李尊师,Ethan-do0707/tang_poetry,0,7,向山独有一人行,向山独有一人行,7,有一人,leishu_3gram,9731,0.590701,七,隠逸,十四,,髙名,獨行。,獨行。,对仗,parallel_note_focused,0
2622,poem_from_line,11466,11470,103,皇甫冉,皇甫冉,招隐寺送阎判官还江州,Ethan-do0707/tang_poetry,7,7,每看潮落一相思,每看潮落一相思,7,一相思,leishu_3gram,13968,0.587858,十,相思,九,,靜言思之。,,,,weighted_channels_untyped_fallback,0
2623,poem_from_line,11479,11483,103,皇甫冉,皇甫冉,春思（一作刘长卿诗）,Ethan-do0707/tang_poetry,7,7,何时反旆勒燕然,何时反旆勒燕然,7,勒燕然,leishu_3gram,20928,0.56426,十五,旋軍,六十五,,反斾,楚令尹南轅反斾,楚令尹南轅反斾,出处原文,weighted_channels,0
2624,poem_from_line,11498,11502,102,刘方平,刘方平,寄陇右严判官,Ethan-do0707/tang_poetry,27,5,九日白衣人,九日白衣人,5,白衣人,leishu_3gram,2031,0.750441,一,九月九日,五十,,白衣,,,,weighted_channels_untyped_fallback,1
2625,poem_from_line,11510,11514,683,刘太真,刘太真,顾十二况左迁过韦苏州房杭州韦睦州…以继三君子之风焉,Ethan-do0707/tang_poetry,11,5,远思不可收,远思不可收,5,思不可,leishu_3gram,13973,0.79526,十,相思,九,,我思不遠,,,,weighted_channels_untyped_fallback,1
2626,poem_from_line,11513,11517,684,袁傪,袁傪,喜陆侍御破石埭草寇东峰亭赋诗,Ethan-do0707/tang_poetry,11,5,湖海意何如,湖海意何如,5,意何如,leishu_3gram,3100,0.592004,二,湖,四十五,,其浸五湖,《周禮》：楊州其浸五湖。注云：太湖方五百里，故曰五湖。,《周禮》：楊州其浸五湖。注云：太湖方五百里，故曰五湖。,出处典籍；出处原文；解释文意,weighted_channels_with_book_title_stats,0
2627,poem_from_line,11516,11520,686,王纬,王纬,东峰亭各赋一物得幽径石,Ethan-do0707/tang_poetry,4,5,从来不可转,从来不可转,5,不可转,leishu_3gram,2317,0.620417,二,石,八,,轉,我心匪石，不可轉也。,我心匪石，不可轉也。,出处原文；解释文意,weighted_channels,0
2628,poem_from_line,11517,11521,686,王纬,王纬,喜陆侍御破石埭草寇东峰亭赋诗,Ethan-do0707/tang_poetry,4,5,草木成鹅鹳,草木成鹅鹳,5,草木成,leishu_3gram,1337,0.637837,一,春,二十八,立春,草木,草曰弱草，芳草，芳卉。木曰文木，華樹，芳樹，陽林，茂林。,草曰弱草，芳草，芳卉。木曰文木，華樹，芳樹，陽林，茂林。,解释文意,weighted_channels,0
2629,poem_from_line,11524,11528,690,李纾,李纾,让皇帝庙乐章。迎神,Ethan-do0707/tang_poetry,4,5,爰命有司,爰命有司,4,命有司,leishu_3gram,1606,0.817422,一,秋,三十,九月,命有司嘗,嘗群神也。,嘗群神也。,解释文意,weighted_channels,1
