作者规范,作者,total_poem_count,total_line_count,matched_poem_count,candidate_line_count,candidate_line_rate,line_high_poem_count,line_high_poem_rate,poem_high_count,poem_high_rate,line_high_count,line_high_rate,line_high_within_candidate_rate,poem_best_mean,poem_best_median,poem_best_max,line_best_mean,line_best_median,line_best_max,poet_id_count,poem_high_within_matched_rate
吕岩,吕岩,107,2450,35,82,0.03346938775510204,3,0.028037383177570093,3,0.028037383177570093,7,0.002857142857142857,0.08536585365853659,0.66826844,0.668226,0.840476,0.6585065,0.6518265,0.840476,1.0,0.08571428571428572
钱起,钱起,429,4612,67,80,0.017346053772766695,6,0.013986013986013986,3,0.006993006993006993,6,0.0013009540329575022,0.075,0.66944665,0.66546,0.765453,0.6657715,0.663159,0.765453,1.0,0.04477611940298507
姚合,姚合,458,4771,80,91,0.01907356948228883,6,0.013100436681222707,3,0.006550218340611353,6,0.0012575979878432194,0.06593406593406594,0.66059834,0.66252995,0.788209,0.65869796,0.657958,0.788209,1.0,0.0375
李端,李端,271,2589,47,50,0.019312475859405175,6,0.02214022140221402,5,0.01845018450184502,6,0.002317497103128621,0.12,0.66055685,0.656563,0.788044,0.6583167,0.6555425,0.788044,1.0,0.10638297872340426
鲍溶,鲍溶,189,2311,61,86,0.037213327563825185,6,0.031746031746031744,5,0.026455026455026454,6,0.0025962786672436176,0.06976744186046512,0.6645946,0.663148,0.915054,0.6576307,0.660894,0.915054,1.0,0.08196721311475409
韩翃,韩翃,166,1534,30,38,0.024771838331160364,6,0.03614457831325301,5,0.030120481927710843,6,0.003911342894393742,0.15789473684210525,0.66767675,0.6543215,0.797826,0.6558359,0.6483455,0.797826,1.0,0.16666666666666666
李颀,李颀,129,1762,57,77,0.04370034052213394,6,0.046511627906976744,5,0.03875968992248062,6,0.00340522133938706,0.07792207792207792,0.66057104,0.649823,0.834233,0.65221506,0.641814,0.834233,1.0,0.08771929824561403
韦表微,韦表微,1,40,1,8,0.2,1,1.0,1,1.0,6,0.15,0.75,0.901622,0.901622,0.901622,0.837783,0.901622,0.901622,1.0,1.0
周昙,周昙,195,780,36,38,0.04871794871794872,5,0.02564102564102564,4,0.020512820512820513,5,0.00641025641025641,0.13157894736842105,0.6765279,0.6772655,0.815338,0.67560107,0.676674,0.815338,1.0,0.1111111111111111
杜牧,杜牧,487,4767,78,108,0.022655758338577723,5,0.01026694045174538,2,0.004106776180698152,5,0.0010488777008600798,0.046296296296296294,0.65761983,0.659462,0.826663,0.6563732,0.6609075,0.826663,1.0,0.02564102564102564
宋之问,宋之问,192,2213,42,45,0.02033438770899232,5,0.026041666666666668,5,0.026041666666666668,5,0.0022593764121102574,0.1111111111111111,0.6573174,0.641821,0.871035,0.6556178,0.640293,0.871035,1.0,0.11904761904761904
罗隐,罗隐,470,3754,84,93,0.024773574853489612,5,0.010638297872340425,4,0.00851063829787234,5,0.0013319126265316996,0.053763440860215055,0.64909047,0.640324,0.81413,0.6459694,0.639678,0.81413,1.0,0.047619047619047616
李商隐,李商隐,555,5687,89,120,0.02110075611042729,5,0.009009009009009009,4,0.007207207207207207,5,0.0008791981712678037,0.041666666666666664,0.6480394,0.644956,0.786496,0.6441938,0.642919,0.786496,1.0,0.0449438202247191
李贺,李贺,234,2987,64,85,0.02845664546367593,5,0.021367521367521368,5,0.021367521367521368,5,0.0016739203213927017,0.058823529411764705,0.6432813,0.640679,0.791538,0.6394562,0.640675,0.791538,1.0,0.078125
孟云卿,孟云卿,21,306,9,11,0.03594771241830065,4,0.19047619047619047,3,0.14285714285714285,5,0.016339869281045753,0.45454545454545453,0.73232967,0.71801,0.797548,0.734644,0.71801,0.797548,1.0,0.3333333333333333
骆宾王,骆宾王,124,2171,21,43,0.019806540764624597,4,0.03225806451612903,4,0.03225806451612903,5,0.0023030861354214646,0.11627906976744186,0.67420083,0.670824,0.838487,0.6517225,0.648863,0.838487,1.0,0.19047619047619047
李峤,李峤,208,2048,27,30,0.0146484375,4,0.019230769230769232,3,0.014423076923076924,5,0.00244140625,0.16666666666666666,0.65059125,0.636815,0.81795,0.6507596,0.63634753,0.81795,1.0,0.1111111111111111
