作者规范,作者,样本规模标记,total_poem_count,total_line_count,稳健密度样本,大样本密度样本,candidate_line_count,候选句密度_每千句,matched_poem_count,候选诗密度_每百首,line_p90_count,句级p90互文密度_每千句,line_p95_count,句级p95互文密度_每千句,line_ge08_count,句级0.8互文密度_每千句,poem_p90_count,诗级p90互文密度_每百首,poem_p95_count,诗级p95互文密度_每百首,poem_ge08_count,诗级0.8互文密度_每百首,候选句转p90率,候选句转p95率,候选诗转p90率,候选诗转p95率,line_best_mean,line_best_median,line_best_max,poem_best_mean,poem_best_median,poem_best_max,句级p90密度排名_全体,句级p90密度排名_稳健,句级p95密度排名_稳健,诗级p90密度排名_稳健
孔绍安,孔绍安,小样本,7,52,False,False,1,19.230769230769234,1,14.285714285714285,1,19.230769230769234,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.742103,0.742103,0.742103,0.742103,0.742103,0.742103,69.0,,,
尉迟汾,尉迟汾,小样本,1,60,False,False,3,50.0,1,100.0,1,16.666666666666668,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0.3333333333333333,0.0,1.0,0.0,0.7167043333333334,0.694297,0.763621,0.763621,0.763621,0.763621,71.0,,,
李纾,李纾,小样本,8,64,False,False,1,15.625,1,12.5,1,15.625,1,15.625,1,15.625,1,12.5,1,12.5,1,12.5,1.0,1.0,1.0,1.0,0.817422,0.817422,0.817422,0.817422,0.817422,0.817422,75.0,,,
卢士衡,卢士衡,小样本,9,64,False,False,2,31.25,2,22.22222222222222,1,15.625,0,0.0,0,0.0,1,11.11111111111111,0,0.0,0,0.0,0.5,0.0,0.5,0.0,0.7400724999999999,0.7400724999999999,0.759045,0.7400724999999999,0.7400724999999999,0.759045,75.0,,,
苏涣,苏涣,小样本,2,64,False,False,9,140.625,2,100.0,1,15.625,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0.1111111111111111,0.0,0.5,0.0,0.6667765555555555,0.66996,0.762948,0.7480469999999999,0.7480469999999999,0.762948,75.0,,,
鲍防,鲍防,小样本,8,65,False,False,3,46.15384615384615,2,25.0,1,15.384615384615385,1,15.384615384615385,0,0.0,1,12.5,0,0.0,0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.0,0.6907526666666666,0.665956,0.77689,0.703151,0.703151,0.77689,78.0,,,
张志和,张志和,小样本,7,70,False,False,6,85.71428571428571,5,71.42857142857143,1,14.285714285714285,0,0.0,0,0.0,1,14.285714285714285,0,0.0,0,0.0,0.16666666666666666,0.0,0.2,0.0,0.6305516666666667,0.5964395,0.756177,0.6173236,0.568781,0.756177,79.0,,,
刘孝孙,刘孝孙,小样本,7,72,False,False,3,41.666666666666664,3,42.857142857142854,1,13.888888888888888,0,0.0,0,0.0,1,14.285714285714285,0,0.0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.7016293333333333,0.688622,0.758512,0.7016293333333333,0.688622,0.758512,80.0,,,
陈叔达,陈叔达,小样本,9,74,False,False,2,27.027027027027028,1,11.11111111111111,1,13.513513513513514,1,13.513513513513514,1,13.513513513513514,1,11.11111111111111,1,11.11111111111111,1,11.11111111111111,0.5,0.5,1.0,1.0,0.8042265,0.8042265,0.97074,0.97074,0.97074,0.97074,82.0,,,
张彪,张彪,小样本,6,76,False,False,3,39.473684210526315,2,33.33333333333333,1,13.157894736842104,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.7247873333333333,0.738127,0.743759,0.7181175,0.7181175,0.743759,83.0,,,
