作者规范,六帖部类,高值句数,最高相似度,平均相似度,代表诗题,代表诗句,代表六帖词条,代表六帖注文,代表相似度,total_line_count,line_p90_count,句级p90互文密度_每千句,样本规模标记,部类高值密度_每千句,部类占诗人高值比例,诗人内部类高值排名
卢延让,刺史,1,0.748629,0.748629,逢友人赴阙,感恩唯拟立生祠,立祠,諸遺愛。立祠、生祠，並具祭部雜祠門。,0.748629,118,1,8.474576271186441,稳健样本,8.474576271186441,1.0,1.0
袁朗,雪,1,0.801805,0.801805,和洗掾登城南坂望京邑,飞雪千里回,飛雪千里,《楚辭》。,0.801805,124,1,8.064516129032258,小样本,8.064516129032258,1.0,1.0
崔融,仙,2,0.780549,0.76701903,吴中好风景,无因生羽翼,生羽翼,,0.780549,252,3,11.904761904761903,稳健样本,7.936507936507936,0.6666666666666666,1.0
法振,内外兄弟,1,0.763142,0.763142,送人游闽越,身寄朗陵公,朗陵公,《文選詩序》曰：「朗陵公何敬祖？余之從外兄也。」,0.763142,126,1,7.936507936507936,稳健样本,7.936507936507936,1.0,1.0
郭震,菊,1,0.784792,0.784792,子夜四时歌六首。秋歌,延年菊花酒,菊花酒,費長房謂桓景：「九月九日可登高，飲菊花酒以消災。,0.784792,131,1,7.633587786259541,稳健样本,7.633587786259541,1.0,1.0
李冶,旌旗,1,0.772461,0.772461,句,旌旗拂座隅,旌旗拂天,《文選》。,0.772461,136,1,7.352941176470588,稳健样本,7.352941176470588,1.0,1.0
水神,津渡,1,0.800535,0.800535,霅溪夜宴诗（诸神命丽玉唱公无渡河歌）,公无渡河兮公竟渡,公無渡河,崔豹《古今注》：津吏霍子高見白首，狂夫被髮，提壺亂流而渡，其妻止之，不及，遂溺死。妻乃援箜篌，作《公無渡河》之曲，歌終亦投河而死。,0.800535,140,1,7.142857142857142,稳健样本,7.142857142857142,1.0,1.0
畅当,菊,1,0.77928,0.77928,九日陪皇甫使君泛江宴赤岸亭,同倾菊花酒,菊花酒,費長房謂桓景：「九月九日可登高，飲菊花酒以消災。,0.77928,140,1,7.142857142857142,稳健样本,7.142857142857142,1.0,1.0
陈子良,劍,1,0.748742,0.748742,赞德上越国公杨素,拔剑倚天外,倚天,《宋玉賦》：長劍耿介倚天外。,0.748742,144,1,6.944444444444444,稳健样本,6.944444444444444,1.0,1.0
裴潾,哭,1,0.975002,0.975002,前相国赞皇公早葺平泉山居暂还憩…十四首奉寄,泣涕如雨,泣涕如雨,,0.975002,146,4,27.397260273972602,小样本,6.8493150684931505,0.25,1.0
裴潾,宮殿,1,0.776989,0.776989,前相国赞皇公早葺平泉山居暂还憩…十四首奉寄,夏凊冬温,順晦明而朝啓夕閉,易寒暑而夏凊冬溫,0.776989,146,4,27.397260273972602,小样本,6.8493150684931505,0.25,2.0
裴潾,拜揖,1,0.771269,0.771269,前相国赞皇公早葺平泉山居暂还憩…十四首奉寄,公拜稽首,責稽首,《傳》：齊人責稽首。注：往年齊侯為公稽首，公不答故也。,0.771269,146,4,27.397260273972602,小样本,6.8493150684931505,0.25,3.0
裴潾,言語,1,0.768773,0.768773,前相国赞皇公早葺平泉山居暂还憩…十四首奉寄,诗以足言,言以足志,不言誰知其志也。,0.768773,146,4,27.397260273972602,小样本,6.8493150684931505,0.25,4.0
顾云,信,1,0.828477,0.828477,天威行,耿恭拜出井底水,耿恭拜井,《後漢》：耿恭，字伯宗。守疎勒城，城中無水，穿井十丈，無水，恭整衣冠，拜井，泉涌出。,0.828477,151,1,6.622516556291391,小样本,6.622516556291391,1.0,1.0
孟云卿,休假,2,0.795241,0.795241,杂曲歌辞。生别离,但恐不出门,不欲出。,文帝幸鄧通，通亦愿謹不外交。雖賜洗沐，不欲出也。,0.795241,306,5,16.339869281045754,稳健样本,6.5359477124183005,0.4,1.0
韦渠牟,仙,2,0.77057,0.77057,杂歌谣辞。步虚词,何须生羽翼,生羽翼,,0.77057,320,2,6.25,小样本,6.25,1.0,1.0
董思恭,日,1,0.800723,0.800723,咏日,更也人皆仰,皆仰,人皆仰之。,0.800723,160,1,6.25,稳健样本,6.25,1.0,1.0
高蟾,儉,1,0.801496,0.801496,道中有感,一裘三十年,一狐裘三十年,《晏子》。,0.801496,166,1,6.024096385542169,稳健样本,6.024096385542169,1.0,1.0
上官昭容,隠逸,1,0.761181,0.761181,游长宁公主流杯池二十五首,山中有逸人,逸人,,0.761181,166,1,6.024096385542169,小样本,6.024096385542169,1.0,1.0
薛据,君臣,1,0.74738,0.74738,古兴,自言皆近臣,近臣,漢嚴助為太中大夫後得朱買臣吾邱壽王主父偃徐樂嚴安枚臯從車並在左右助等與大臣辨論中外相應以義理之文大臣數詘司馬相如數稱疾避事枚臯東方朔不根持論上頗俳優畜之唯助與壽王見任而助最先進,0.74738,172,1,5.813953488372093,稳健样本,5.813953488372093,1.0,1.0
王季友,徵聘,1,0.757705,0.757705,古塞曲,天子不召见,不召之臣,公車詔楊秉、韋著並稱疾，不至。有司劾大不敬，正罪。周景、邊韶等議，秉以退譲為節，誠違仄席之望，然逶迤退跡，是抑苟進之風，明王之，世必有不召之臣也。,0.757705,176,1,5.681818181818182,稳健样本,5.681818181818182,1.0,1.0
刘复,崑崙山,1,0.869222,0.869222,游仙,五城十二楼,五城十二樓,又曰：「崑崙之墟，五城十二樓，河水出，四維魚龍。」,0.869222,185,3,16.216216216216218,稳健样本,5.405405405405405,0.3333333333333333,1.0
刘复,志節,1,0.815906,0.815906,送王伦（一作汪伦）,四方各有志,子有四方之志,,0.815906,185,3,16.216216216216218,稳健样本,5.405405405405405,0.3333333333333333,2.0
刘复,案,1,0.754881,0.754881,出三城留别幕中三判官,愧无青玉案,青玉案,《張平子詩》曰：「美人贈我錦繡段，何以報之青玉案。」,0.754881,185,3,16.216216216216218,稳健样本,5.405405405405405,0.3333333333333333,3.0
贺知章,德,1,0.91163,0.91163,唐禅社首乐章。雍和,惟德惟馨,明德惟馨,,0.91163,187,3,16.0427807486631,稳健样本,5.347593582887701,0.3333333333333333,1.0
吴少微,宰相,1,0.79074,0.79074,哭富嘉谟,於戏社稷臣,社稷臣,,0.79074,187,2,10.695187165775401,小样本,5.347593582887701,0.5,1.0
贺知章,錢,1,0.783688,0.783688,题袁氏别业（一作偶游主人园）,囊中自有钱,囊中,,0.783688,187,3,16.0427807486631,稳健样本,5.347593582887701,0.3333333333333333,2.0
吴少微,文教,1,0.783115,0.783115,哭富嘉谟,子之文章在,夫子之文章可得而聞也,,0.783115,187,2,10.695187165775401,小样本,5.347593582887701,0.5,2.0
