作者规范,作者,样本规模标记,total_poem_count,total_line_count,稳健密度样本,大样本密度样本,candidate_line_count,候选句密度_每千句,matched_poem_count,候选诗密度_每百首,line_p90_count,句级p90互文密度_每千句,line_p95_count,句级p95互文密度_每千句,line_ge08_count,句级0.8互文密度_每千句,poem_p90_count,诗级p90互文密度_每百首,poem_p95_count,诗级p95互文密度_每百首,poem_ge08_count,诗级0.8互文密度_每百首,候选句转p90率,候选句转p95率,候选诗转p90率,候选诗转p95率,line_best_mean,line_best_median,line_best_max,poem_best_mean,poem_best_median,poem_best_max,句级p90密度排名_全体,句级p90密度排名_稳健,句级p95密度排名_稳健,诗级p90密度排名_稳健
高適,高適,大样本,208,3550,True,True,127,35.774647887323944,83,39.90384615384615,17,4.788732394366197,10,2.8169014084507045,8,2.2535211267605635,13,6.25,8,3.8461538461538463,7,3.3653846153846154,0.13385826771653545,0.07874015748031496,0.1566265060240964,0.0963855421686747,0.6715985433070866,0.66865,0.893403,0.6853130843373494,0.676804,0.893403,137.0,48.0,42.0,26.0
杨师道,杨师道,稳健样本,21,210,True,False,2,9.523809523809526,2,9.523809523809524,1,4.761904761904763,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.5,0.0,0.0,0.0,0.718315,0.718315,0.750574,0.718315,0.718315,0.750574,138.0,49.0,122.0,155.0
綦毋潜,綦毋潜,稳健样本,26,210,True,False,5,23.809523809523807,4,15.384615384615385,1,4.761904761904763,1,4.761904761904763,0,0.0,1,3.8461538461538463,0,0.0,0,0.0,0.2,0.2,0.25,0.0,0.6874892,0.660368,0.779495,0.69614125,0.6742045,0.779495,138.0,49.0,22.0,48.0
李华,李华,稳健样本,15,424,True,False,21,49.528301886792455,3,20.0,2,4.716981132075471,0,0.0,0,0.0,1,6.666666666666667,0,0.0,0,0.0,0.09523809523809523,0.0,0.3333333333333333,0.0,0.6935968095238095,0.700863,0.770672,0.7334893333333333,0.716184,0.770672,140.0,51.0,122.0,22.0
上官仪,上官仪,稳健样本,20,212,True,False,4,18.867924528301884,4,20.0,1,4.716981132075471,1,4.716981132075471,0,0.0,1,5.0,1,5.0,0,0.0,0.25,0.25,0.25,0.25,0.6073895,0.5507595000000001,0.798693,0.6073895,0.5507595000000001,0.798693,140.0,51.0,23.0,35.0
李白,李白,大样本,896,15477,True,True,602,38.89642695612845,340,37.94642857142857,71,4.587452348646379,37,2.3906441816889576,20,1.2922400982102475,53,5.915178571428571,29,3.2366071428571432,20,2.232142857142857,0.11794019933554817,0.061461794019933555,0.15588235294117647,0.08529411764705883,0.6674915016611296,0.6652155,0.858565,0.6864913235294118,0.6821025000000001,0.858565,142.0,53.0,47.0,29.0
聂夷中,聂夷中,稳健样本,43,444,True,False,18,40.54054054054054,15,34.883720930232556,2,4.504504504504505,2,4.504504504504505,2,4.504504504504505,2,4.651162790697675,2,4.651162790697675,2,4.651162790697675,0.1111111111111111,0.1111111111111111,0.13333333333333333,0.13333333333333333,0.676468111111111,0.6661975,0.815883,0.6790865333333334,0.657421,0.815883,143.0,54.0,24.0,37.0
贯休,贯休,大样本,553,7120,True,True,272,38.20224719101124,167,30.198915009041592,32,4.49438202247191,21,2.949438202247191,7,0.9831460674157304,25,4.520795660036167,15,2.7124773960216997,7,1.2658227848101267,0.11764705882352941,0.07720588235294118,0.1497005988023952,0.08982035928143713,0.6668738676470588,0.6625115,0.888025,0.6818553832335329,0.669026,0.888025,144.0,55.0,40.0,41.0
刘方平,刘方平,稳健样本,29,223,True,False,1,4.484304932735426,1,3.4482758620689653,1,4.484304932735426,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.750441,0.750441,0.750441,0.750441,0.750441,0.750441,145.0,56.0,122.0,155.0
柳宗元,柳宗元,稳健样本,16,223,True,False,11,49.327354260089685,6,37.5,1,4.484304932735426,0,0.0,0,0.0,1,6.25,0,0.0,0,0.0,0.09090909090909091,0.0,0.16666666666666666,0.0,0.6684699090909091,0.668479,0.761079,0.6689218333333334,0.6661125,0.761079,145.0,56.0,122.0,26.0
